Country,Traffic_type,2008,2008Q1,2008Q2,2009,2009Q1,2009Q2,2010,2010Q1,2010Q2,2011,2011Q1,2011Q2,2012,2012Q1,2012Q2,2013,2013Q1,2013Q2,2014,2014Q1,2014Q2,2015,2015Q1,2015Q2,2016,2016Q1,2016Q2,2017,2017Q1,2017Q2,2018,2018Q1,2018Q2,2019,2019Q1,2019Q2,2020Q1,2020Q2
Finland,passengers,14850682,3609159.0,3777943.0,13828812,3327181.0,3511813.0,14220636,3361818.0,3428511.0,16374398,3643549.0,4361360.0,16458815,3944891.0,4320764.0,16565391,3749243.0,4315082.0,17171931,3905464.0,4495566.0,17479246,3932883.0,4484768.0,18099954,4149912.0,4590192.0,20054947,4443186.0,5095315.0,22173530,5044232.0,5715308.0,23287929,5241638.0,6090934.0,4176090.0,143901.0
France,Cargo,1672284,0.0,0.0,1450562,0.0,0.0,1525970,0.0,0.0,1765733,0.0,0.0,1753085,0.0,0.0,1741021,0.0,0.0,2361510,0.0,0.0,2380931,0.0,0.0,2401593,0.0,0.0,2450326,0.0,0.0,2407878,0.0,0.0,2313684,0.0,0.0,0.0,0.0
France,passengers,122960315,26916559.0,32996702.0,117636389,24670819.0,31561469.0,118697207,24884002.0,30437735.0,126013257,26058932.0,33634595.0,129764462,27038108.0,34632131.0,132762875,27228259.0,35499161.0,136360671,28060745.0,37036957.0,140867569,28823517.0,37633192.0,145280602,29693483.0,38597434.0,154096485,31452583.0,40932094.0,161991179,33319555.0,42628172.0,168716779,34915649.0,45446874.0,28191375.0,0.0
Germany,Cargo,3568563,0.0,0.0,3341222,0.0,0.0,4099072,0.0,0.0,4309649,0.0,0.0,4218208,0.0,0.0,4231474,0.0,0.0,4336163,0.0,0.0,4325665,0.0,0.0,4467022,0.0,0.0,4773359,0.0,0.0,4842716,0.0,0.0,4684553,0.0,0.0,0.0,0.0
Germany,passengers,165758846,35261888.0,44201081.0,158148829,31743113.0,41547310.0,166130833,33283764.0,41572337.0,175316076,34955177.0,46366318.0,178591103,35975562.0,47413217.0,180783188,35441050.0,48261700.0,186445814,36018893.0,49578664.0,193936430,37628821.0,51893112.0,200687293,39720127.0,52385936.0,212389343,41598302.0,56915731.0,222422361,43345964.0,58454885.0,226764086,45335669.0,61039045.0,34233831.0,1987089.0
Greece,Cargo,112225,0.0,0.0,97797,0.0,0.0,88564,0.0,0.0,81355,0.0,0.0,72192,0.0,0.0,67262,0.0,0.0,60324,0.0,0.0,62332,0.0,0.0,69949,0.0,0.0,69074,0.0,0.0,96889,0.0,0.0,105403,0.0,0.0,0.0,0.0
Greece,passengers,35059804,3675232.0,9954486.0,33440269,3344871.0,9395177.0,32588072,3704420.0,8836318.0,33770739,3176476.0,9609844.0,32082336,2886365.0,9044157.0,34023934,2693599.0,9603186.0,39117833,2910010.0,11104593.0,42096402,3632694.0,11956947.0,45543371,4120501.0,12388190.0,50170728,4439799.0,14233393.0,54258826,4832040.0,15880895.0,56088527,5177439.0,15943233.0,0.0,0.0
Hungary,Cargo,62544,0.0,0.0,54138,0.0,0.0,65305,0.0,0.0,68860,0.0,0.0,61902,0.0,0.0,64166,0.0,0.0,61970,0.0,0.0,65783,0.0,0.0,77535,0.0,0.0,87277,0.0,0.0,101411,0.0,0.0,95590,0.0,0.0,0.0,0.0
Hungary,passengers,8429082,1709021.0,2205133.0,8081067,1461971.0,2109502.0,8174510,1534054.0,2034394.0,8884837,1640948.0,2332902.0,8429843,1559604.0,2250680.0,8441319,1632974.0,2246104.0,9054848,1732415.0,2411574.0,10228352,1945776.0,2685567.0,11660366,2269480.0,3055761.0,13350029,2591750.0,3488701.0,15176493,3038449.0,3963560.0,16700750,3236913.0,4368097.0,2857660.0,118117.0
Iceland,Cargo,54739,0.0,0.0,38776,0.0,0.0,35234,0.0,0.0,37558,0.0,0.0,40030,0.0,0.0,41491,0.0,0.0,41908,0.0,0.0,44664,0.0,0.0,48459,0.0,0.0,52870,0.0,0.0,56889,0.0,0.0,55100,0.0,0.0,0.0,0.0
